Uniformization
Time	2ServersUp	1ServerUp	BothDown	Up	Down	
0	1	0	0	1	0	
0.1	0.99970022	0.00029976	0.00000002	0.99970024	0.00000002	
0.2	0.99940595	0.00059396	0.00000009	0.99940604	0.00000009	
0.3	0.99911709	0.00088271	0.00000019	0.99911729	0.00000019	
0.4	0.99883354	0.00116612	0.00000034	0.99883388	0.00000034	
0.5	0.9985552	0.00144428	0.00000052	0.99855572	0.00000052	
0.6	0.99828198	0.00171728	0.00000074	0.99828272	0.00000074	
0.7	0.99801378	0.00198524	0.00000099	0.99801476	0.00000099	
0.8	0.9977505	0.00224823	0.00000127	0.99775177	0.00000127	
0.9	0.99749206	0.00250637	0.00000157	0.99749363	0.00000157	
1	0.99723837	0.00275972	0.00000191	0.99724028	0.00000191	
1.1	0.99698933	0.0030084	0.00000227	0.9969916	0.00000227	
1.2	0.99674487	0.00325247	0.00000265	0.99674753	0.00000265	
1.3	0.9965049	0.00349204	0.00000306	0.99650796	0.00000306	
1.4	0.99626933	0.00372718	0.00000349	0.99627282	0.00000349	
1.5	0.99603809	0.00395798	0.00000393	0.99604202	0.00000393	
1.6	0.99581109	0.00418451	0.0000044	0.99581549	0.0000044	
1.7	0.99558826	0.00440686	0.00000488	0.99559314	0.00000488	
1.8	0.99536951	0.00462511	0.00000537	0.99537489	0.00000537	
1.9	0.99515478	0.00483933	0.00000588	0.99516067	0.00000588	
2	0.99494399	0.0050496	0.00000641	0.9949504	0.00000641	
2.1	0.99473707	0.00525599	0.00000694	0.99474401	0.00000694	
2.2	0.99453394	0.00545857	0.00000749	0.99454143	0.00000749	
2.3	0.99433454	0.00565742	0.00000805	0.99434258	0.00000805	
2.4	0.99413879	0.0058526	0.00000861	0.9941474	0.00000861	
2.5	0.99394663	0.00604418	0.00000919	0.99395582	0.00000919	
2.6	0.993758	0.00623223	0.00000977	0.99376777	0.00000977	
2.7	0.99357282	0.00641682	0.00001036	0.99358318	0.00001036	
2.8	0.99339104	0.006598	0.00001096	0.993402	0.00001096	
2.9	0.99321259	0.00677585	0.00001156	0.99322415	0.00001156	
3	0.99303742	0.00695042	0.00001216	0.99304958	0.00001216	
3.1	0.99286545	0.00712178	0.00001277	0.99287822	0.00001277	
3.2	0.99269663	0.00728999	0.00001338	0.99271001	0.00001338	
3.3	0.99253091	0.00745509	0.000014	0.99254491	0.000014	
3.4	0.99236822	0.00761716	0.00001462	0.99238284	0.00001462	
3.5	0.99220851	0.00777625	0.00001524	0.99222375	0.00001524	
3.6	0.99205173	0.00793241	0.00001586	0.99206759	0.00001586	
3.7	0.99189783	0.0080857	0.00001648	0.9919143	0.00001648	
3.8	0.99174674	0.00823616	0.0000171	0.99176384	0.0000171	
3.9	0.99159841	0.00838386	0.00001772	0.99161614	0.00001772	
4	0.99145281	0.00852885	0.00001834	0.99147115	0.00001834	
4.1	0.99130987	0.00867117	0.00001896	0.99132883	0.00001896	
4.2	0.99116955	0.00881087	0.00001958	0.99118913	0.00001958	
4.3	0.99103179	0.00894801	0.0000202	0.99105199	0.0000202	
4.4	0.99089656	0.00908262	0.00002081	0.99091738	0.00002081	
4.5	0.99076381	0.00921477	0.00002143	0.99078523	0.00002143	
4.6	0.99063348	0.00934448	0.00002204	0.99065552	0.00002204	
4.7	0.99050554	0.00947181	0.00002264	0.99052819	0.00002264	
4.8	0.99037995	0.00959681	0.00002325	0.99040319	0.00002325	
4.9	0.99025665	0.0097195	0.00002385	0.9902805	0.00002385	
5	0.9901356	0.00983995	0.00002445	0.99016005	0.00002445	
5.1	0.99001678	0.00995818	0.00002504	0.99004182	0.00002504	
5.2	0.98990013	0.01007424	0.00002563	0.98992576	0.00002563	
5.3	0.98978561	0.01018818	0.00002622	0.98981182	0.00002622	
5.4	0.98967318	0.01030002	0.0000268	0.98969998	0.0000268	
5.5	0.98956282	0.0104098	0.00002738	0.9895902	0.00002738	
5.6	0.98945447	0.01051758	0.00002795	0.98948242	0.00002795	
5.7	0.98934811	0.01062337	0.00002852	0.98937663	0.00002852	
5.8	0.98924369	0.01072723	0.00002908	0.98927277	0.00002908	
5.9	0.98914118	0.01082918	0.00002964	0.98917082	0.00002964	
6	0.98904055	0.01092926	0.00003019	0.98907074	0.00003019	
6.1	0.98894175	0.0110275	0.00003074	0.9889725	0.00003074	
6.2	0.98884477	0.01112395	0.00003128	0.98887605	0.00003128	
6.3	0.98874956	0.01121862	0.00003182	0.98878138	0.00003182	
6.4	0.98865609	0.01131156	0.00003235	0.98868844	0.00003235	
6.5	0.98856432	0.01140279	0.00003288	0.98859721	0.00003288	
6.6	0.98847424	0.01149236	0.0000334	0.98850764	0.0000334	
6.7	0.9883858	0.01158028	0.00003392	0.98841972	0.00003392	
6.8	0.98829898	0.01166659	0.00003443	0.98833341	0.00003443	
6.9	0.98821375	0.01175131	0.00003494	0.98824869	0.00003494	
7	0.98813008	0.01183449	0.00003543	0.98816551	0.00003543	
7.1	0.98804793	0.01191614	0.00003593	0.98808386	0.00003593	
7.2	0.98796729	0.01199629	0.00003642	0.98800371	0.00003642	
7.3	0.98788812	0.01207498	0.0000369	0.98792502	0.0000369	
7.4	0.9878104	0.01215222	0.00003737	0.98784778	0.00003737	
7.5	0.9877341	0.01222805	0.00003785	0.98777195	0.00003785	
7.6	0.9876592	0.01230249	0.00003831	0.98769751	0.00003831	
7.7	0.98758566	0.01237557	0.00003877	0.98762443	0.00003877	
7.8	0.98751347	0.01244731	0.00003922	0.98755269	0.00003922	
7.9	0.98744259	0.01251773	0.00003967	0.98748227	0.00003967	
8	0.98737302	0.01258687	0.00004011	0.98741313	0.00004011	
8.1	0.98730471	0.01265474	0.00004055	0.98734526	0.00004055	
8.2	0.98723765	0.01272137	0.00004098	0.98727863	0.00004098	
8.3	0.98717182	0.01278677	0.00004141	0.98721323	0.00004141	
8.4	0.98710719	0.01285098	0.00004183	0.98714902	0.00004183	
8.5	0.98704374	0.01291402	0.00004224	0.98708598	0.00004224	
8.6	0.98698145	0.0129759	0.00004265	0.9870241	0.00004265	
8.7	0.9869203	0.01303665	0.00004305	0.98696335	0.00004305	
8.8	0.98686027	0.01309628	0.00004345	0.98690372	0.00004345	
8.9	0.98680133	0.01315483	0.00004384	0.98684517	0.00004384	
9	0.98674347	0.0132123	0.00004423	0.9867877	0.00004423	
9.1	0.98668667	0.01326872	0.00004461	0.98673128	0.00004461	
9.2	0.9866309	0.01332411	0.00004498	0.98667589	0.00004498	
9.3	0.98657616	0.01337849	0.00004535	0.98662151	0.00004535	
9.4	0.98652241	0.01343187	0.00004572	0.98656813	0.00004572	
9.5	0.98646964	0.01348428	0.00004608	0.98651572	0.00004608	
9.6	0.98641784	0.01353572	0.00004643	0.98646428	0.00004643	
9.7	0.98636699	0.01358623	0.00004678	0.98641377	0.00004678	
9.8	0.98631706	0.01363581	0.00004713	0.98636419	0.00004713	
9.9	0.98626805	0.01368448	0.00004747	0.98631552	0.00004747	
10	0.98621993	0.01373227	0.0000478	0.98626773	0.0000478	
10.1	0.98617269	0.01377918	0.00004813	0.98622082	0.00004813	
10.2	0.98612631	0.01382523	0.00004846	0.98617477	0.00004846	
10.3	0.98608078	0.01387044	0.00004878	0.98612956	0.00004878	
10.4	0.98603609	0.01391482	0.00004909	0.98608518	0.00004909	
10.5	0.9859922	0.01395839	0.0000494	0.98604161	0.0000494	
10.6	0.98594912	0.01400117	0.00004971	0.98599883	0.00004971	
10.7	0.98590683	0.01404316	0.00005001	0.98595684	0.00005001	
10.8	0.98586531	0.01408439	0.0000503	0.98591561	0.0000503	
10.9	0.98582455	0.01412486	0.0000506	0.98587514	0.0000506	
11	0.98578453	0.01416459	0.00005088	0.98583541	0.00005088	
11.1	0.98574524	0.0142036	0.00005116	0.9857964	0.00005116	
11.2	0.98570667	0.01424189	0.00005144	0.98575811	0.00005144	
11.3	0.9856688	0.01427948	0.00005172	0.98572052	0.00005172	
11.4	0.98563163	0.01431639	0.00005199	0.98568361	0.00005199	
11.5	0.98559513	0.01435262	0.00005225	0.98564738	0.00005225	
11.6	0.9855593	0.01438819	0.00005251	0.98561181	0.00005251	
11.7	0.98552413	0.0144231	0.00005277	0.9855769	0.00005277	
11.8	0.98548959	0.01445738	0.00005302	0.98554262	0.00005302	
11.9	0.98545569	0.01449104	0.00005327	0.98550896	0.00005327	
12	0.98542241	0.01452408	0.00005352	0.98547592	0.00005352	
12.1	0.98538973	0.01455651	0.00005376	0.98544349	0.00005376	
12.2	0.98535765	0.01458835	0.000054	0.98541165	0.000054	
12.3	0.98532616	0.01461961	0.00005423	0.98538039	0.00005423	
12.4	0.98529524	0.0146503	0.00005446	0.9853497	0.00005446	
12.5	0.98526488	0.01468043	0.00005468	0.98531957	0.00005468	
12.6	0.98523508	0.01471001	0.00005491	0.98528999	0.00005491	
12.7	0.98520583	0.01473905	0.00005513	0.98526095	0.00005513	
12.8	0.98517711	0.01476755	0.00005534	0.98523245	0.00005534	
12.9	0.98514891	0.01479554	0.00005555	0.98520446	0.00005555	
13	0.98512122	0.01482302	0.00005576	0.98517698	0.00005576	
13.1	0.98509405	0.01484999	0.00005596	0.98515001	0.00005596	
13.2	0.98506737	0.01487647	0.00005617	0.98512353	0.00005617	
13.3	0.98504117	0.01490247	0.00005636	0.98509753	0.00005636	
13.4	0.98501545	0.01492799	0.00005656	0.98507201	0.00005656	
13.5	0.98499021	0.01495304	0.00005675	0.98504696	0.00005675	
13.6	0.98496542	0.01497764	0.00005694	0.98502236	0.00005694	
13.7	0.98494109	0.01500179	0.00005712	0.98499821	0.00005712	
13.8	0.9849172	0.0150255	0.00005731	0.9849745	0.00005731	
13.9	0.98489374	0.01504877	0.00005748	0.98495123	0.00005748	
14	0.98487072	0.01507162	0.00005766	0.98492838	0.00005766	
14.1	0.98484811	0.01509405	0.00005783	0.98490595	0.00005783	
14.2	0.98482592	0.01511607	0.000058	0.98488393	0.000058	
14.3	0.98480413	0.01513769	0.00005817	0.98486231	0.00005817	
14.4	0.98478274	0.01515892	0.00005834	0.98484108	0.00005834	
14.5	0.98476174	0.01517976	0.0000585	0.98482024	0.0000585	
14.6	0.98474113	0.01520021	0.00005866	0.98479979	0.00005866	
14.7	0.98472089	0.0152203	0.00005881	0.9847797	0.00005881	
14.8	0.98470102	0.01524001	0.00005897	0.98475999	0.00005897	
14.9	0.98468151	0.01525937	0.00005912	0.98474063	0.00005912	
15	0.98466236	0.01527838	0.00005927	0.98472162	0.00005927	
15.1	0.98464356	0.01529703	0.00005941	0.98470297	0.00005941	
15.2	0.9846251	0.01531535	0.00005956	0.98468465	0.00005956	
15.3	0.98460698	0.01533333	0.0000597	0.98466667	0.0000597	
15.4	0.98458918	0.01535098	0.00005984	0.98464902	0.00005984	
15.5	0.98457172	0.01536831	0.00005997	0.98463169	0.00005997	
15.6	0.98455457	0.01538533	0.00006011	0.98461467	0.00006011	
15.7	0.98453773	0.01540203	0.00006024	0.98459797	0.00006024	
15.8	0.98452121	0.01541843	0.00006037	0.98458157	0.00006037	
15.9	0.98450498	0.01543453	0.00006049	0.98456547	0.00006049	
16	0.98448905	0.01545033	0.00006062	0.98454967	0.00006062	
16.1	0.98447341	0.01546585	0.00006074	0.98453415	0.00006074	
16.2	0.98445806	0.01548108	0.00006086	0.98451892	0.00006086	
16.3	0.98444298	0.01549604	0.00006098	0.98450396	0.00006098	
16.4	0.98442818	0.01551072	0.0000611	0.98448928	0.0000611	
16.5	0.98441365	0.01552513	0.00006121	0.98447487	0.00006121	
16.6	0.98439939	0.01553928	0.00006132	0.98446072	0.00006132	
16.7	0.98438539	0.01555318	0.00006143	0.98444682	0.00006143	
16.8	0.98437164	0.01556682	0.00006154	0.98443318	0.00006154	
16.9	0.98435814	0.01558021	0.00006165	0.98441979	0.00006165	
17	0.98434489	0.01559335	0.00006175	0.98440665	0.00006175	
17.1	0.98433188	0.01560626	0.00006186	0.98439374	0.00006186	
17.2	0.98431911	0.01561893	0.00006196	0.98438107	0.00006196	
17.3	0.98430657	0.01563137	0.00006206	0.98436863	0.00006206	
17.4	0.98429426	0.01564358	0.00006216	0.98435642	0.00006216	
17.5	0.98428218	0.01565557	0.00006225	0.98434443	0.00006225	
17.6	0.98427031	0.01566734	0.00006235	0.98433266	0.00006235	
17.7	0.98425867	0.01567889	0.00006244	0.98432111	0.00006244	
